파일명,소분류1,점수1,소분류2,점수2,소분류3,점수3
갈비_골목갈비_1838.jpg,Nighttime exterior with neon lights,0.2683,Night view with illuminated architecture,0.26,Historic street with stone facades,0.2403
갈비_초량골목갈비_1806.jpg,Sunlit window display with pastries,0.229,Early morning market street ambiance,0.2105,Glass-fronted shop in urban setting,0.1903
갈비_초량골목갈비_1807.jpg,Sunlit window display with pastries,0.2164,Rustic wooden market architecture,0.2022,Rustic wooden interior with chandeliers,0.2017
갈비_초량골목갈비_1808.jpg,Traditional thatched roof dining pavilion,0.2001,Open-air restaurant with ocean view,0.1952,Early morning market street ambiance,0.1941
갤러리카페_스타파이브_1066.jpg,Open-air restaurant with ocean view,0.2572,Modern minimalist restaurant architecture,0.247,Glass-walled restaurant overlooking mountains,0.2461
"고궁,궁_경복궁_241.jpg",Traditional architecture with mountain backdrop,0.282,Traditional architecture with mountain backdrop,0.282,Temple courtyard with ancient bells,0.2718
"고궁,궁_경희궁_264.jpg",Golden roofed palace under clear sky,0.2604,Golden roofed palace under clear sky,0.2604,Temple courtyard with ancient bells,0.2561
"고궁,궁_경희궁_266.jpg",Traditional architecture with mountain backdrop,0.2398,Bridges over gentle flowing streams,0.2136,Mountain temple shrouded in mist,0.2107
"고궁,궁_용흥궁_1241.jpg",Traditional wooden temple gate entrance,0.3293,Rustic wooden market architecture,0.2792,Ornate gate with intricate carvings,0.279
"고궁,궁_용흥궁_1242.jpg",Traditional wooden temple gate entrance,0.2991,Traditional architecture with mountain backdrop,0.2861,Traditional architecture with mountain backdrop,0.2861
"고궁,궁_용흥궁_1243.jpg",Historic stone fountain centerpiece,0.2579,Stone lanterns lining temple pathway,0.2253,Minimalist modern water feature,0.2223
"고궁,궁_운현궁_267.jpg",Temple courtyard with ancient bells,0.3028,Traditional wooden temple gate entrance,0.2955,Bamboo forest surrounding secluded shrine,0.279
"고궁,궁_운현궁_268.jpg",Traditional wooden temple gate entrance,0.2946,Traditional architecture with mountain backdrop,0.2808,Temple courtyard with ancient bells,0.2761
"고궁,궁_운현궁_269.jpg",Traditional wooden temple gate entrance,0.3082,Temple courtyard with ancient bells,0.2612,Traditional architecture with mountain backdrop,0.2585
"고궁,궁_창덕궁_244.jpg",Traditional wooden temple gate entrance,0.2927,Temple courtyard with ancient bells,0.2823,Golden roofed palace under clear sky,0.2723
"고궁,궁_창덕궁_246.jpg",Golden roofed palace under clear sky,0.2562,Golden roofed palace under clear sky,0.2562,Palace reflection in lotus pond,0.2515
"고궁,궁_화성행궁_759.jpg",Traditional wooden temple gate entrance,0.3245,Grand entrance with ornamental pillars,0.3015,Grand entrance with ornamental pillars,0.3015
공원_동탄호수공원_629.jpg,Panoramic skyline from hilltop park,0.2534,city skyline along riverfront,0.2514,Serene pond with lily pads,0.2414
공원_동탄호수공원_630.jpg,Historic wooden roller coaster structure,0.237,Fountain with colorful mosaic tiles,0.2354,Minimalist modern water feature,0.2352
공원_동탄호수공원_631.jpg,city skyline along riverfront,0.2668,Panoramic skyline from hilltop park,0.2483,Modern marina with luxury yachts,0.2436
공원_동호수어린이공원_133.jpg,Seasonal flower beds in bloom,0.2592,Open prairie trail under vast sky,0.2393,Riverbank walking route,0.2342
공원_동호수어린이공원_134.jpg,Lotus pond reflecting temple facade,0.3145,Japanese Zen garden with koi pond,0.3047,Palace reflection in lotus pond,0.2731
공원_동호수어린이공원_135.jpg,Glass-walled restaurant overlooking mountains,0.2947,Lotus pond reflecting temple facade,0.2842,Palace reflection in lotus pond,0.2696
공원_왕송호수공원_662.jpg,Pathway through a bamboo forest,0.2665,Bamboo grove shaded pathway,0.2643,Lush forest with vibrant green canopy,0.2268
공원_은계호수공원_646.jpg,Bridges over gentle flowing streams,0.2657,Night view with illuminated architecture,0.2627,foggy river with wooden docks,0.2602
공원_인천대공원 수목원길_1092.jpg,Ancient trees with twisted branches,0.267,Snow-covered evergreens in winter forest,0.2389,Misty forest with dense fog,0.2271
공원_인천대공원 수목원길_1093.jpg,Ancient trees with twisted branches,0.2835,Lush forest with vibrant green canopy,0.2328,Japanese Zen garden with koi pond,0.2309
공원_인천대공원 수목원길_1094.jpg,Lush botanical gardens with exotic plants,0.2313,Japanese Zen garden with koi pond,0.2296,Seasonal flower beds in bloom,0.228
국수_국수골목 계양점_1361.jpg,Glass-walled restaurant overlooking mountains,0.2132,Traditional thatched roof dining pavilion,0.2005,Rooftop restaurant with city skyline,0.1923
국수_국수골목 계양점_1362.jpg,Glass-walled restaurant overlooking mountains,0.2012,Colorful canopies over market stalls,0.1936,Open-air restaurant with ocean view,0.1866
국수_국수골목 계양점_1363.jpg,Traditional thatched roof dining pavilion,0.2148,Open-air restaurant with ocean view,0.1963,Rooftop restaurant with city skyline,0.1954
